"Strong's"	"Goodrick-Kohlenberger"	"Greek Word"	"English Definition (brief)"	"English Definition (longer)"
"0475"	"0507"	"a)ntidiati/qemai"	"I oppose"	"I set myself against, oppose."
"0476"	"0508"	"a)nti/dikos, ou, o("	"an opponent, adversary"	"an opponent (at law), an adversary."
"0477"	"0509"	"a)nti/qesis, ews, h("	"opposition"	"a proposition, tenet, opinion advanced by one party against another; opposition."
"0478"	"0510"	"a)ntikaqi/sthmi"	"I resist"	"I resist, supersede, replace, oppose."
"0479"	"0511"	"a)ntikale/w"	"I invite in return"	"I invite in return."
"0480"	"0512"	"a)nti/keimai"	"I resist, oppose"	"I resist, oppose, withstand, lie opposite to."
"0481"	"0513"	"a)ntikru/"	"right opposite, over against"	"right opposite, off (nautical sense), over against."
"0482"	"0514"	"a)ntilamba/nomai"	"I take hold of, help, share in"	"I take hold of, help, share in, partake of, enjoy."
"0483"	"0515"	"a)ntile/gw"	"I speak or say in opposition, contradict"	"I speak or say in opposition, contradict (oppose, resist)."
"0484"	"0516"	"a)nti/lhyis, ews, h("	"help, ministration"	"help, ministration; one who aids."
"0485"	"0517"	"a)ntilogi/a, as, h("	"contradiction, contention, rebellion"	"contradiction, contention, rebellion."
"0486"	"0518"	"a)ntiloidore/w"	"I abuse in return, give abuse for abuse"	"I abuse in return, give abuse for abuse."
"0487"	"0519"	"a)nti/lutron, ou, to/"	"a ransom"	"a ransom."
"0488"	"0520"	"a)ntimetre/w"	"I measure in return, give equivalent measure"	"I measure in return, give equivalent measure."
"0489"	"0521"	"a)ntimisqi/a, as, h("	"a reward, recompense"	"a reward, recompense, retribution."
"0490"	"0522"	"*)antio/xeia, as, h("	"Antioch"	"Antioch, (a) Antioch on the river Orontes, capital of the Province Syria, (b) ""Pisidian"" Antioch, not in Pisidia, but near Pisidia, in the Roman Province Galatia."
"0491"	"0523"	"*)antioxeu/s, e/ws, o("	"an Antiochian"	"an Antiochian, an inhabitant of Antioch."
"0492"	"0524"	"a)ntipare/rxomai"	"I pass opposite"	"I pass opposite, on the opposite side of the road."
"0493"	"0525"	"*)anti/pas, a, o("	"Antipas"	"Antipas, a Christian martyr of Pergamum."
"0494"	"0526"	"*)antipatri/s, i/dos, h("	"Antipatris"	"Antipatris, a town, where was a Roman colony, on the road between Caesarea and Jerusalem."
"0495"	"0527"	"a)ntipe/ran"	"on the opposite side or shore"	"on the opposite side or shore."
"0496"	"0528"	"a)ntipi/ptw"	"I fall foul of, resist, oppose"	"I resist, oppose, fall against or upon."
"0497"	"0529"	"a)ntistrateu/omai"	"I campaign against, war against"	"I campaign against, war against."
"0498"	"0530"	"a)ntita/ssomai"	"I set myself against, resist"	"I set myself against, resist (the attack of)."
"0499"	"0531"	"a)nti/tupos, on"	"typical of, representing by type or pattern"	"typical of, representing by type (or pattern), corresponding to, an image."
"0500"	"0532"	"a)nti/xristos, ou, o("	"antichrist"	"antichrist, either one who puts himself in the place of, or the enemy (opponent) of the Messiah."
"0501"	"0533"	"a)ntle/w"	"I draw, draw out"	"I draw (generally water from a deep well in the ground); perhaps: I draw out."
"0502"	"0534"	"a)/ntlhma, atos, to/"	"a pail"	"what is drawn; a vessel or bucket to draw with."
"0503"	"0535"	"a)ntofqalme/w"	"I face, resist"	"I face (lit: ""I present my eye to""), resist, withstand; as nautical term: I bear up against the wind."
"0504"	"0536"	"a)/nudros, on"	"without water, dry"	"without water, dry; subst: dry places, desert."
"0505"	"0537"	"a)nupo/kritos, on"	"unfeigned, without hypocrisy"	"unfeigned, without hypocrisy, sincere."
"0506"	"0538"	"a)nupo/taktos, on"	"unruly"	"not subject to rule, unruly."
"0507"	"0539"	"a)/nw"	"up, above, things above, heaven"	"up, above, up to the top, up to the brim, things above, heaven, the heavenly region."
"0508"	"0333"	"a)nw/geon, ou, to/"	"an upper room"	"an upper room."
"0509"	"0540"	"a)/nwqen"	"from above, from the beginning, again"	"(a) from above, from heaven, (b) from the beginning, from their origin (source), from of old, (c) again, anew."
"0510"	"0425,0541"	"a)nwteriko/s, h/, o/n"	"upper, higher-lying"	"upper, higher-lying, inland."
"0511"	"0542"	"a)nw/teron"	"higher, to a more honorable place, previously, above"	"higher, to a more honorable place (at the dinner table); previously, in an earlier passage (or a book), above."
"0512"	"0543"	"a)nwfelh/s, e/s"	"useless, unprofitable"	"useless, unprofitable."
"0513"	"0544"	"a)ci/nh, hs, h("	"an axe"	"an axe."
"0514"	"0545"	"a)/cios, i/a, ion"	"worthy, worthy of, deserving"	"worthy, worthy of, deserving, comparable, suitable."
"0515"	"0546"	"a)cio/w"	"I account or treat as worthy"	"I account or treat as worthy."
"0516"	"0547"	"a)ci/ws"	"worthily, in a manner worthy of"	"worthily, in a manner worthy of."
"0517"	"0548"	"a)o/ratos, on"	"unseen, invisible"	"unseen, invisible."
"0518"	"0033,0550"	"a)pagge/llw"	"I report, bring a report, announce"	"I report (from one place to another), bring a report, announce, declare."
"0519"	"0551"	"a)pa/gxw"	"I choke, strangle"	"I choke, strangle; mid: I strangle or hang myself."
"0520"	"0552"	"a)pa/gw"	"I lead, carry, take away"	"I lead, carry, take away; met: I am led astray, seduced."
"0521"	"0553"	"a)pai/deutos, on"	"untrained, uneducated"	"untrained, uneducated, showing a want of training or education, ignorant."
"0522"	"0554"	"a)pai/rw"	"I take away, remove"	"I take away, remove; pass: I am taken away, withdrawn."
"0523"	"0555"	"a)paite/w"	"I ask back, ask what is my due"	"I ask back, ask what is my due, demand back."
"0524"	"0556"	"a)palge/w"	"I am past feeling, cease to care, become callous"	"(lit: I cease to feel [my] pain), am past feeling, cease to care (suggesting sometimes despair, sometimes recklessness), become callous, reckless."
"0525"	"0557"	"a)palla/ssw"	"I free from"	"I free (a person) from (anything), oftener in the middle voice: I am released from, am rid of (a person or thing), depart."
"0526"	"0558"	"a)pallotrio/omai"	"I estrange, alienate"	"I estrange, alienate; pass: I am alienated from."
"0527"	"0559"	"a(palo/s, h/, o/n"	"tender"	"soft, tender, as a shoot of a tree."
"0528"	"0560"	"a)panta/w"	"I meet, encounter"	"I go to meet, meet, encounter."
"0529"	"0561"	"a)pa/nthsis, ews, h("	"the act of meeting, to meet"	"the act of meeting, to meet (a phrase seemingly almost technical for the reception of a newly arrived official)."
"0530"	"0562"	"a(/pac"	"once, once for all"	"once, once for all."
"0531"	"0563"	"a)para/batos, on"	"inviolable, unchangeable"	"inviolable, unchangeable."
"0532"	"0564"	"a)paraskeu/astos, on"	"unprepared"	"unprepared."
"0533"	"0565"	"a)parne/omai"	"I deny, disown, disregard"	"I deny, disown, repudiate (either another person or myself), disregard."
"0535"	"0568"	"a)partismo/s, ou=, o("	"completion, perfection."	"completion, perfection."
"0536"	"0569"	"a)parxh/, h=s, h("	"the first-fruits"	"the first-fruits, the earliest crop of the year, hence also met., for example, of the earliest converts in a district; there is evidence in favor of rendering in some passages merely by: sacrifice, gift."
"0537"	"0570"	"a(/pas, asa, an"	"all, the whole"	"all, the whole, altogether."
"0538"	"0572"	"a)pata/w"	"I deceive, lead into error"	"I deceive, cheat, lead into error."
"0539"	"0573"	"a)pa/th, hs, h("	"deceit, deception"	"deceit, deception, deceitfulness, delusion."
"0540"	"0574"	"a)pa/twr, oros, to/"	"without father, of unknown father"	"without (recorded) father, of unknown father."
"0541"	"0575"	"a)pau/gasma, atos, to/"	"a light flashing forth, radiation, gleam"	"a light flashing forth (from), radiation, gleam."
"0543"	"0577"	"a)pei/qeia, as, h("	"willful unbelief, obstinacy, disobedience"	"willful unbelief, obstinacy, disobedience."
"0544"	"0578"	"a)peiqe/w"	"I disobey, rebel, am disloyal"	"I disobey, rebel, am disloyal, refuse conformity."
"0545"	"0579"	"a)peiqh/s, e/s"	"unbelieving, disobedient"	"unbelieving, disobedient, who will not be persuaded."
"0546"	"0580"	"a)peile/w"	"I threaten, forbid by threatening"	"I threaten, forbid by threatening."
"0547"	"0581"	"a)peilh/, h=s, h("	"a threatening, threat"	"a threatening, threat."
"0548"	"0582"	"a)/peimi"	"I am absent"	"I am absent."
"0549"	"0583"	"a)/peimi"	"I go away, depart"	"I go away, depart."
"0550"	"0584"	"a)pei=pon"	"I renounce, disown"	"I renounce, disown, forbid, refuse."
"0551"	"0585"	"a)pei/rastos, on"	"untried, inexperienced, incapable of being tempted"	"untried, inexperienced, untempted, incapable of being tempted."
"0552"	"0586"	"a)/peiros, on"	"inexperienced, unskillful"	"inexperienced, unskillful, ignorant."
"0553"	"0587"	"a)pekde/xomai"	"I expect eagerly, wait for eagerly"	"I expect eagerly, wait for eagerly, look for."
"0554"	"0588"	"a)pekdu/omai"	"I strip, divest, renounce"	"I strip, divest, renounce."
"0555"	"0589"	"a)pe/kdusis, ews, h("	"a putting off, casting off"	"a putting off (as of a garment), a casting off."
"0556"	"0590"	"a)pelau/nw"	"I drive away"	"I drive away."
"0557"	"0591"	"a)pelegmo/s, ou=, o("	"refutation, rejection, disrepute"	"refutation, rejection, hence: disrepute, contempt."
"0558"	"0592"	"a)peleu/qeros, ou, o("	"a freedman"	"a freedman, one who has been a slave but has been manumitted by his master."
"0559"	"0593"	"*)apellh=s, ou=, o("	"Apelles"	"Apelles, a Christian (man) in Rome."
"0560"	"0594"	"a)pelpi/zw"	"I despair"	"I give up in despair, despair of; I hope to receive from or in return."
"0561"	"0584,0595"	"a)pe/nanti"	"over against, opposite, in view of, in the presence of"	"against, over against, opposite, in view of, in the presence of."
"0562"	"0596"	"a)pe/rantos, on"	"unaccomplished, unending, endless"	"unaccomplished, unending, endless."
"0563"	"0597"	"a)perispa/stws"	"without distraction, without being distracted"	"without distraction, without being distracted."
"0564"	"0598"	"a)peri/tmhtos, on"	"uncircumcised, unclean"	"uncircumcised."
"0565"	"0599"	"a)pe/rxomai"	"I come or go away from, depart, return"	"I come or go away from, depart, return, arrive, go after, follow."
"0567"	"0600"	"a)pe/xomai"	"I abstain from"	"I abstain from, keep myself away from."
"0568"	"0600"	"a)pe/xw"	"I have in full, am far, it is enough"	"I have in full, am far, it is enough."
"0569"	"0601"	"a)piste/w"	"I am unfaithful, I disbelieve"	"I am unfaithful, disbelieve, refuse belief, prove false."
"0570"	"0602,3898"	"a)pisti/a, as, h("	"unbelief, unfaithfulness, distrust"	"unbelief, unfaithfulness, distrust."
"0571"	"0603"	"a)/pistos, on"	"unbelieving, incredulous, unchristian, unbeliever"	"unbelieving, incredulous, unchristian; sometimes subst: unbeliever."
"0572"	"0605"	"a(plo/ths, thtos, h("	"simplicity, sincerity, purity"	"simplicity, sincerity, purity, graciousness."
"0573"	"0604,0606"	"a(plou=s, h=, ou=n"	"single, simple, sound"	"single, simple, sound, perfect."
"0574"	"0607"	"a(plw=s"	"simply, sincerely"	"simply, sincerely, graciously, bountifully."
"0575"	"0608"	"a)po/"	"from, away from"	"from, away from."
"0576"	"0609"	"a)pobai/nw"	"I go or come out of, disembark, result"	"I go or come out of, disembark, turn out, result, become, happen."
"0577"	"0610"	"a)poba/llw"	"I throw away from, throw overboard"	"I throw away from, throw overboard, cast aside."
"0578"	"0611"	"a)poble/pw"	"I look away from, turn my attention to"	"I look away from all else at one object, look steadfastly."
"0579"	"0612"	"a)po/blhtos, on"	"worthy to be cast away, worthless"	"worthy to be cast away, worthless, regarded as vile."
"0580"	"0613"	"a)pobolh/, h=s, h("	"a casting away, rejection, loss"	"a casting away, rejection, a loss."
"0581"	"0614"	"a)pogi/nomai"	"I go out of being, cease to be, die"	"I am away, am removed from, depart life, die."
"0582"	"0615"	"a)pografh/, h=s, h("	"an enrollment, census-taking, record"	"an enrollment, census-taking, record."
"0583"	"0616"	"a)pogra/fw"	"I enroll, inscribe in a register"	"I enroll, inscribe in a register; mid: I give my name for registration (or census-taking)."
"0584"	"0617"	"a)podei/knumi"	"I show by proof, demonstrate, set forth"	"I show by proof, demonstrate, set forth, proclaim to an officer."
"0585"	"0618"	"a)po/deicis, ews, h("	"demonstration, proof"	"demonstration, proof; a showing off."
"0586"	"0619,0620"	"a)podekato/w"	"I take off a tenth part, pay tithe"	"I take off (deduct) a tenth part (of my property) (and give it away), pay tithe."
"0587"	"0621"	"a)po/dektos, on"	"worthy to be received, acceptable, welcome"	"worthy to be received (welcomed), acceptable, welcome, pleasant."
"0588"	"0622"	"a)pode/xomai"	"I receive, welcome, entertain"	"I receive, welcome, entertain (with hospitality), embrace."
"0589"	"0623"	"a)podhme/w"	"I go into another country"	"I am away from home, go into another country, am away, am abroad."
"0590"	"0624"	"a)po/dhmos, on"	"away from home"	"away from home, sojourning in another country."
"0591"	"0625"	"a)podi/dwmi"	"I give back, return, sell"	"(a) I give back, return, restore, (b) I give, render, as due, (c) mid: I sell."
"0592"	"0626"	"a)podiori/zw"	"I make a distinction"	"I make a logical distinction, make an invidious distinction."
"0593"	"0627"	"a)podokima/zw"	"I reject after testing, I disqualify"	"I reject after testing (examination), disqualify."
"0594"	"0628"	"a)podoxh/, h=s, h("	"acceptance, appreciation, approbation"	"(properly: reception, welcome, of guests), acceptance, appreciation, approbation."
"0595"	"0629"	"a)po/qesis, ews, h("	"a putting off, a laying down"	"a putting off, a laying down."
"0596"	"0630"	"a)poqh/kh, hs, h("	"a repository, granary, barn, storehouse"	"a repository, granary, barn, storehouse."
"0597"	"0631"	"a)poqhsauri/zw"	"I store up, treasure up"	"I store up, treasure up."
"0598"	"0632"	"a)poqli/bw"	"I jostle"	"(lit: I rub), jostle, press hard, crowd."
"0599"	"0633"	"a)poqnh/|skw"	"I am dying, am about to die"	"I am dying, am about to die, wither, decay."
"0600"	"0634,0635"	"a)pokaqi/sthmi"	"I restore, give back"	"I set up again, restore to its original position or condition; hence: I restore, give back."
"0601"	"0636"	"a)pokalu/ptw"	"I uncover, bring to light, reveal"	"I uncover, bring to light, reveal."
"0602"	"0637"	"a)poka/luyis, ews, h("	"an unveiling, uncovering, revealing"	"an unveiling, uncovering, revealing, revelation."
"0603"	"0638,2839"	"a)pokaradoki/a, as, h("	"eager expectation"	"eager expectation."
"0604"	"0639"	"a)pokatalla/ssw"	"I reconcile"	"I reconcile, change from one state of feeling to another."
"0605"	"0640"	"a)pokata/stasis, ews, h("	"restitution, reestablishment, restoration"	"restitution, reestablishment, restoration."
"0606"	"0641"	"a)po/keimai"	"I have been put away, am stored, am reserved for"	"I have been put away, am stored, am reserved for."
"0607"	"0642"	"a)pokefali/zw"	"I behead"	"I behead."
"0608"	"0643"	"a)poklei/w"	"I shut"	"I shut fast, close, shut up."
"0609"	"0644"	"a)poko/ptw"	"I smite, cut off, emasculate"	"I smite, cut off, cut loose; mid: I emasculate, castrate, mutilate myself."
"0610"	"0645"	"a)po/krima, atos, to/"	"an answer, a judicial decision"	"an answer, a judicial decision."
"0611"	"0646"	"a)pokri/nomai"	"I answer, reply"	"I answer, reply, take up the conversation."
"0612"	"0647"	"a)po/krisis, ews, h("	"an answer, reply"	"an answer, reply."
"0613"	"0648"	"a)pokru/ptw"	"I hide away, conceal"	"I hide away, conceal, keep secret."
"0614"	"0649"	"a)po/krufos, on"	"hidden away, secret"	"hidden away, secret, stored up."
"0615"	"0650,0651"	"a)poktei/nw"	"I put to death, kill"	"I put to death, kill; fig: I abolish."
"0616"	"0652"	"a)pokue/w"	"I bring forth, give birth to"	"I bring forth, give birth to (a child), a medical or physical word, marking the close of pregnancy."
"0617"	"0375,0653"	"a)pokuli/w"	"I roll away"	"I roll away."
"0618"	"0655"	"a)polamba/nw"	"I get back, receive back"	"(a) I get back, receive back, (b) I get (receive) as due (deserved), (c) mid: I draw aside, separate."
"0619"	"0656"	"a)po/lausis, ews, h("	"the faculty or experience of enjoyment"	"the faculty or experience of enjoyment."
"0620"	"0657"	"a)polei/pw"	"I leave, leave behind, desert, am reserved"	"I leave, leave behind; pass: I am reserved, remain; I desert, abandon."
"0621"	"0658,2143,3314,4336"	"a)polei/xw"	"I lick off, lick clean"	"I lick off, lick clean, lick up."
"0622"	"0660"	"a)po/llumi"	"I destroy, lose, am perishing"	"(a) I kill, destroy, (b) I lose, mid: I am perishing (the resultant death being viewed as certain)."
"0623"	"0661"	"*)apollu/wn, onos, o("	"Apollyon, Destroyer"	"Apollyon, The Destroying One, a Greek translation of the Hebrew: Abaddon."
"0624"	"0662"	"*)apollwni/a, as, h("	"Apollonia"	"Apollonia, a city of Macedonia."
"0625"	"0663"	"*)apollw/s, w/, o("	"Apollos"	"Apollos, a Jew of Alexandria."
"0626"	"0664"	"a)pologe/omai"	"I give a defense, defend myself"	"I give a defense, defend myself (especially in a law court): it can take an object of what is said in defense."
"0627"	"0665"	"a)pologi/a, as, h("	"a verbal defense"	"a verbal defense (particularly in a law court)."
"0628"	"0666"	"a)polou/w"	"I wash off, wash away"	"I wash off, mid: I wash away (my sins, in baptism)."
"0629"	"0667"	"a)polu/trwsis, ews, h("	"redemption, deliverance"	"release effected by payment of ransom; redemption, deliverance."
"0630"	"0668"	"a)polu/w"	"I release, let go, send away, divorce"	"I release, let go, send away, divorce, am rid; mid: I depart."
"0631"	"0669"	"a)poma/ssw"	"I wipe off"	"I wipe off, wipe clean; mid: I wipe myself off."
"0632"	"0671"	"a)pone/mw"	"I apportion, render as due"	" I assign, apportion, render (as due)."
"0633"	"0672"	"a)poni/ptw"	"I wash dirt off"	"I wash dirt off."
"0634"	"0674"	"a)popi/ptw"	"I fall away from, fall off"	"I fall away (from), fall off."
"0635"	"0675"	"a)poplana/w"	"I cause to wander astray, have wandered away"	"I cause to go astray; pass: I am led astray."
"0636"	"0676"	"a)pople/w"	"I sail away"	"I sail away."
"0637"	"0677"	"a)poplu/nw"	"I wash, rinse"	"I wash, rinse."
"0638"	"0678"	"a)popni/gw"	"I suffocate, choke, drown, stop the growth of"	"(a) I suffocate, choke, drown, (b) I stop the growth of."
"0639"	"0679"	"a)pore/w"	"I am in difficulties, am at my wits end"	"I am at a loss, am perplexed; mid: I am in doubt."
"0640"	"0680"	"a)pori/a, as, h("	"perplexity, anxiety"	"perplexity, anxiety, doubt."
"0641"	"0681"	"a)porri/ptw"	"I throw away from, throw overboard"	"I throw away from, throw overboard."
"0642"	"0682"	"a)porfani/zw"	"I separate from some one, bereave"	"I separate from some one, am bereaved."
"0643"	"0683,2171"	"a)poskeua/zomai"	"I prepare for a journey, depart"	"I prepare for a journey, depart."
"0644"	"0684"	"a)poski/asma, atos, to/"	"a shadow, a faint image or copy"	"either a shadow cast by an object, or a faint image or copy of an object."
"0645"	"0685"	"a)pospa/w"	"I wrench away from, drag away, withdraw"	"lit: I wrench away from, drag away, but perhaps sometimes in the well-attested weakened sense: I am parted or withdrawn."
"0646"	"0686"	"a)postasi/a, as, h("	"defection, apostasy"	"defection, apostasy, revolt."
"0647"	"0687"	"a)posta/sion, ou, to/"	"repudiation, divorce"	"repudiation, divorce; met: bill of divorce."
"0648"	"0689"	"a)postega/zw"	"I unroof, take the roof off"	"I unroof, take the roof off."
"0649"	"0690,1852"	"a)poste/llw"	"I send forth, send, send away, dismiss"	"I send forth, send (as a messenger, commission, etc.), send away, dismiss."
"0650"	"0691,0935"	"a)postere/w"	"I deprive one of something, rob"	"I defraud, deprive of, despoil; mid: I endure deprivation; pass: I am bereft of."
"0651"	"0692"	"a)postolh/, h=s, h("	"commission, duty of apostle, apostleship"	"commission, duty of apostle, apostleship."
"0652"	"0693"	"a)po/stolos, ou, o("	"an apostle, a messenger, an envoy, a delegate"	"a messenger, envoy, delegate, one commissioned by another to represent him in some way, especially a man sent out by Jesus Christ Himself to preach the Gospel; an apostle."
"0653"	"0694"	"a)postomati/zw"	"I draw out by questioning"	"I draw out by questioning."
"0654"	"0695"	"a)postre/fw"	"I turn away, restore, reject"	"I turn away, pervert, remove; I restore, replace; mid: I desert, reject."
"0655"	"0696"	"a)postuge/w"	"I detest, abhor"	"I detest, abhor."
"0656"	"0697"	"a)posuna/gwgos, on"	"away from the synagogue, excommunicated"	"away from the synagogue, expelled from the synagogue, excommunicated."
"0657"	"0698"	"a)pota/ssomai"	"I withdraw from, take leave of, renounce, send away"	"I withdraw from, take leave of, renounce, send away."
"0658"	"0699"	"a)potele/w"	"I complete, accomplish, form fully, perfect"	"I complete, accomplish, form fully, perfect, bring to maturity."
"0659"	"0700"	"a)poti/qhmi"	"I lay off or aside, renounce"	"I lay off or aside, renounce, stow away, put."
"0660"	"0701"	"a)potina/ssw"	"I shake off"	"I shake off."
"0661"	"0702"	"a)poti/nw"	"I repay, pay what is due"	"I repay, pay what is due (by way of punishment or fine), make good."
"0662"	"0703"	"a)potolma/w"	"I assume boldness"	"I assume boldness."
"0663"	"0704"	"a)potomi/a, as, h("	"harshness, severity"	"(lit: sheerness, of a rock), abruptness, harshness, severity, rigor."
"0664"	"0705"	"a)poto/mws"	"sharply, severely"	"sharply, severely."
"0665"	"0706"	"a)potre/pw"	"I turn away from, shun"	"I turn away from, shun."
"0666"	"0707"	"a)pousi/a, as, h("	"absence"	"absence, deficiency, waste."
"0667"	"0708"	"a)pofe/rw"	"I carry, bear away"	"I carry, bear away (sometimes with violence)."
"0668"	"0709"	"a)pofeu/gw"	"I flee from, escape"	"I flee from, escape."
"0669"	"0710"	"a)pofqe/ggomai"	"I speak out, declare"	"I speak out, declare."
"0670"	"0711"	"a)poforti/zomai"	"I unload, discharge"	"I unload, discharge."
"0671"	"0712"	"a)po/xrhsis, ews, h("	"using up"	"using up, abuse, misuse."
"0672"	"0713"	"a)poxwre/w"	"I go away, depart"	"I go away, depart, withdraw."
"0673"	"0714"	"a)poxwri/zw"	"I separate from"	"I separate from; mid: I part; pass: I am swept aside."
"0674"	"0715"	"a)poyu/xw"	"I faint, breathe out life, die"	"I faint, breathe out life, die, am dismayed."
"0675"	"0716"	"*)/appios, ou, o("	"Appius"	"the township Appi Forum on the Appian Way, 43 Roman miles from Rome, was named."
"0676"	"0717"	"a)pro/sitos, on"	"unapproachable"	"unapproachable."
"0677"	"0718"	"a)pro/skopos, on"	"not offending, not causing offence, blameless"	"(free from hurt or harm, hence) not offending, not causing offence, blameless."
"0678"	"0719"	"a)proswpolh/ptws"	"impartially"	"(literary and Jewish), without any preference (undue favor, partiality) for a person."
"0679"	"0720"	"a)/ptaistos, on"	"without stumbling or falling"	"without stumbling or falling, sure-footed."
"0680"	"0721"	"a(/ptomai"	"I touch or handle"	"prop: I fasten to; I lay hold of, touch, know carnally."
"0681"	"0721,4312"	"a(/ptw"	"I kindle, light"	"I kindle, light."
"0682"	"0722"	"*)apfi/a, as, h("	"Apphia"	"Apphia, a Christian lady of Colossae, either wife or sister of Philemon."
"0683"	"0723"	"a)pwqe/w"	"I push or thrust away, reject"	"I push (thrust) away, repulse, reject, refuse."
"0684"	"0724"	"a)pw/leia, as, h("	"destruction, ruin, loss"	"destruction, ruin, loss, perishing; eternal ruin."
"0685"	"0725"	"a)ra/, a=s, h("	"a prayer or prayer for evil, a curse, imprecation"	"a prayer; more commonly: a prayer for evil, a curse, imprecation."
"0686"	"0726"	"a)/ra"	"then, therefore, since"	"then, therefore, since."
"0687"	"0727"	"a)=ra"	"a particle asking a question, expecting a negative response"	"a particle asking a question, to which a negative answer is expected."
"0688"	"0728"	"*)arabi/a, as, h("	"Arabia"	"Arabia, the district south of Palestine."
"0689"	"0098,0730,0763"	"*)ara/m, o("	"Ram"	"Ram, son of Hezron and father of Amminadab."
"0690"	"0732"	"*)/aray, *)/arabos, o("	"an Arabian"	"an Arabian."
"0691"	"0733"	"a)rge/w"	"I linger, delay, am idle"	"I linger, delay, am idle."
"0692"	"0734"	"a)rgo/s, h/, o/n"	"idle, lazy, thoughtless"	"idle, lazy, thoughtless, unprofitable, injurious."
"0693"	"0735,0739"	"a)rgurou=s, a=, ou=n"	"made of silver"	"made of silver."
"0694"	"0736"	"a)rgu/rion, ou, to/"	"silver, a shekel, money in general"	"silver, a piece of silver, a shekel, money in general."
"0695"	"0737"	"a)rguroko/pos, ou, o("	"a silversmith"	"(lit: silver-cutter), a silversmith."
"0696"	"0738"	"a)/rguros, ou, o("	"silver as a metal"	"silver as a metal."
"0697"	"0740,4076"	"*)/areios pa/gos, ou, o("	"the Areopagus"	"Areopagus, or Mar's Hill, an open space on a hill in Athens where the supreme court was held."
"0698"	"0741"	"*)areopagi/ths, ou, o("	"member of the Council of the Areopagus"	"member of the Council of the Areopagus, an Areopagite."
"0699"	"0742"	"a)re/skeia, as, h("	"pleasing, willing service"	"pleasing, willing service."
"0700"	"0743"	"a)re/skw"	"I please, serve"	"I please, with the idea of willing service rendered to others; hence almost: I serve."
"0701"	"0744"	"a)resto/s, h/, o/n"	"pleasing, satisfactory, acceptable"	"pleasing, satisfactory, acceptable."
"0702"	"0745"	"*)are/tas, a, o("	"Aretas"	"Aretas IV, King of the Nabataeans."
"0703"	"0746"	"a)reth/, h=s, h("	"virtue, moral excellence, perfection"	"goodness, a gracious act, virtue, uprightness."
"0704"	"0748"	"a)rh/n, a)rno/s, o("	"a lamb"	"a lamb, sheep."
"0705"	"0749"	"a)riqme/w"	"I number, count"	"I number, count."
"0706"	"0750"	"a)riqmo/s, ou=, o("	"a number, total"	"a number, total."
"0707"	"0751"	"*)arimaqai/a, as, h("	"Arimathea"	"Arimathea, a place in Palestine."
"0708"	"0752"	"*)ari/starxos, ou, o("	"Aristarchus"	"Aristarchus, a Christian, belonging to Thessalonica in Macedonia."
"0709"	"0753"	"a)rista/w"	"I breakfast, dine"	"I breakfast, dine."
"0710"	"0754"	"a)ristero/s, a/, o/n"	"on the left hand"	"on the left hand."
"0711"	"0755"	"*)aristo/boulos, ou, o("	"Aristobulus"	"Aristobulus, a Christian in Rome."
"0712"	"0756"	"a)/riston, ou, to/"	"breakfast or a mid-day meal"	"breakfast or a mid-day meal."
"0713"	"0757"	"a)rketo/s, h/, o/n"	"sufficient"	"sufficient, enough."
"0714"	"0758"	"a)rke/w"	"I am sufficient, I suffice, am content, satisfied"	"I keep off, assist; I suffice; pass: I am satisfied."
"0715"	"0759,0760"	"a)/rkos, ou, o(, h("	"a bear"	"a bear."
"0716"	"0761"	"a(/rma, atos, to/"	"a chariot"	"a chariot, vehicle."
"0717"	"0762,3403"	"*(armagedw/n"	"Armageddon"	"Armageddon."
"0718"	"0764"	"a(rmo/zw"	"I fit, join"	"I fit, join; mid: (the middle indicating deep personal interest) I espouse, betroth; mid: I take a wife, give in marriage."
"0719"	"0765"	"a(rmo/s, ou=, o("	"a joint of the body"	"a joint of the body."
"0720"	"0766"	"a)rne/omai"	"I deny, repudiate"	"(a) I deny (a statement), (b) I repudiate (a person, or belief)."
"0721"	"0768"	"a)rni/on, ou, to/"	"a lamb"	"(originally: a little lamb, but diminutive force was lost), a lamb."
"0722"	"0769"	"a)rotria/w"	"I plow"	"I plow."
"0723"	"0770"	"a)/rotron, ou, to/"	"a plow"	"a plow."
"0724"	"0771"	"a(rpagh/, h=s, h("	"the act of plundering, plunder, spoil"	"the act of plundering; plunder, spoil, robbery."
"0725"	"0772"	"a(rpagmo/s, ou=, o("	"spoil, an object of eager desire, a prize"	"spoil, an object of eager desire, a prize."
"0726"	"0773"	"a(rpa/zw"	"I seize, snatch, obtain by robbery"	"I seize, snatch, obtain by robbery."
"0727"	"0774"	"a(/rpac, agos, o("	"rapacious, ravenous, a robber, an extortioner"	"rapacious, ravenous; a robber, an extortioner."
"0728"	"0775"	"a)rrabw/n, w=nos, o("	"an earnest, earnest-money"	"an earnest, earnest-money, a large part of the payment, given in advance as a security that the whole will be paid afterwards."
"0729"	"0731"	"a)/rafos, on"	"not sewed, seamless"	"not sewed, seamless."
"0730"	"0776,0781"	"a)/rshn, enos, en"	"male"	"male."
"0731"	"0777"	"a)/rrhtos, on"	"not to be uttered, secret"	"not to be uttered (because too sacred), secret, unspeakable, unspoken."
